1 100 -5 5 101
0.0 1.0
0.063 0.998
0.126 0.992
0.188 0.982
0.251 0.969
0.314 0.951
0.377 0.93
0.44 0.905
0.502 0.877
0.565 0.845
0.628 0.809
0.691 0.771
0.754 0.729
0.816 0.685
0.879 0.638
0.942 0.588
1.005 0.536
1.068 0.482
1.13 0.427
1.193 0.369
1.256 0.31
1.319 0.249
1.382 0.188
1.444 0.126
1.507 0.064
1.57 0.001
1.633 -0.062
1.696 -0.125
1.758 -0.186
1.821 -0.248
1.884 -0.308
1.947 -0.367
2.01 -0.425
2.072 -0.48
2.135 -0.535
2.198 -0.587
2.261 -0.637
2.324 -0.684
2.386 -0.728
2.449 -0.77
2.512 -0.808
2.575 -0.844
2.638 -0.876
2.7 -0.904
2.763 -0.929
2.826 -0.951
2.889 -0.968
2.952 -0.982
3.014 -0.992
3.077 -0.998
3.14 -1.0
3.203 -0.998
3.266 -0.992
3.328 -0.983
3.391 -0.969
3.454 -0.952
3.517 -0.93
3.58 -0.905
3.642 -0.877
3.705 -0.845
3.768 -0.81
3.831 -0.772
3.894 -0.73
3.956 -0.686
4.019 -0.639
4.082 -0.589
4.145 -0.537
4.208 -0.483
4.27 -0.428
4.333 -0.37
4.396 -0.311
4.459 -0.251
4.522 -0.189
4.584 -0.128
4.647 -0.065
4.71 -0.002
4.773 0.061
4.836 0.123
4.898 0.185
4.961 0.246
5.024 0.307
5.087 0.366
5.15 0.424
5.212 0.479
5.275 0.533
5.338 0.586
5.401 0.635
5.464 0.683
5.526 0.727
5.589 0.769
5.652 0.807
5.715 0.843
5.778 0.875
5.84 0.903
5.903 0.929
5.966 0.95
6.029 0.968
6.092 0.982
6.154 0.992
6.217 0.998
6.28 1.0
