1 100 -5 5 101
-1.57 1.563
-1.539 1.8
-1.507 2.107
-1.476 2.495
-1.444 3.046
-1.413 3.833
-1.382 5.111
-1.35 7.697
-1.319 14.858
-1.287 312.141
-1.256 -16.988
-1.225 -8.238
-1.193 -5.35
-1.162 -3.969
-1.13 -3.113
-1.099 -2.557
-1.068 -2.153
-1.036 -1.836
-1.005 -1.592
-0.973 -1.387
-0.942 -1.22
-0.911 -1.076
-0.879 -0.947
-0.848 -0.835
-0.816 -0.732
-0.785 -0.641
-0.754 -0.557
-0.722 -0.476
-0.691 -0.402
-0.659 -0.329
-0.628 -0.262
-0.597 -0.196
-0.565 -0.131
-0.534 -0.068
-0.502 -0.004
-0.471 0.058
-0.44 0.121
-0.408 0.186
-0.377 0.251
-0.345 0.32
-0.314 0.39
-0.283 0.463
-0.251 0.544
-0.22 0.627
-0.188 0.72
-0.157 0.819
-0.126 0.928
-0.094 1.055
-0.063 1.195
-0.031 1.364
0.0 1.557
0.031 1.793
0.063 2.098
0.094 2.483
0.126 3.03
0.157 3.808
0.188 5.068
0.22 7.602
0.251 14.513
0.283 208.491
0.314 -17.462
0.345 -8.349
0.377 -5.397
0.408 -3.996
0.44 -3.13
0.471 -2.569
0.502 -2.162
0.534 -1.843
0.565 -1.598
0.597 -1.391
0.628 -1.224
0.659 -1.079
0.691 -0.95
0.722 -0.838
0.754 -0.735
0.785 -0.643
0.816 -0.559
0.848 -0.478
0.879 -0.404
0.911 -0.331
0.942 -0.263
0.973 -0.198
1.005 -0.132
1.036 -0.07
1.068 -0.006
1.099 0.056
1.13 0.119
1.162 0.184
1.193 0.249
1.225 0.319
1.256 0.388
1.287 0.462
1.319 0.542
1.35 0.625
1.382 0.718
1.413 0.816
1.444 0.925
1.476 1.051
1.507 1.191
1.539 1.359
1.57 1.552
